passengerid,parch,fare,embarked
379,0,4.0125,C
380,0,7.775,S
381,0,227.525,C
382,2,15.7417,C
383,0,7.925,S
384,0,52.0,S
385,0,7.8958,S
386,0,73.5,S
387,2,46.9,S
388,0,13.0,S
389,0,7.7292,Q
390,0,12.0,C
391,2,120.0,S
392,0,7.7958,S
393,0,7.925,S
394,0,113.275,C
395,2,16.7,S
396,0,7.7958,S
397,0,7.8542,S
398,0,26.0,S
399,0,10.5,S
400,0,12.65,S
401,0,7.925,S
402,0,8.05,S
403,0,9.825,S
404,0,15.85,S
405,0,8.6625,S
406,0,21.0,S
407,0,7.75,S
408,1,18.75,S
409,0,7.775,S
410,1,25.4667,S
411,0,7.8958,S
412,0,6.8583,Q
413,0,90.0,Q
414,0,0.0,S
415,0,7.925,S
416,0,8.05,S
417,1,32.5,S
418,2,13.0,S
419,0,13.0,S
420,2,24.15,S
421,0,7.8958,C
422,0,7.7333,Q
423,0,7.875,S
424,1,14.4,S
425,1,20.2125,S
426,0,7.25,S
427,0,26.0,S
428,0,26.0,S
429,0,7.75,Q
430,0,8.05,S
431,0,26.55,S
432,0,16.1,S
433,0,26.0,S
434,0,7.125,S
435,0,55.9,S
436,2,120.0,S
437,2,34.375,S
438,3,18.75,S
439,4,263.0,S
440,0,10.5,S
441,1,26.25,S
442,0,9.5,S
443,0,7.775,S
444,0,13.0,S
445,0,8.1125,S
446,2,81.8583,S
447,1,19.5,S
448,0,26.55,S
449,1,19.2583,C
450,0,30.5,S
451,2,27.75,S
452,0,19.9667,S
453,0,27.75,C
454,0,89.1042,C
455,0,8.05,S
456,0,7.8958,C
457,0,26.55,S
458,0,51.8625,S
459,0,10.5,S
460,0,7.75,Q
461,0,26.55,S
462,0,8.05,S
463,0,38.5,S
464,0,13.0,S
465,0,8.05,S
466,0,7.05,S
467,0,0.0,S
468,0,26.55,S
469,0,7.725,Q
470,1,19.2583,C
471,0,7.25,S
472,0,8.6625,S
473,2,27.75,S
474,0,13.7917,C
475,0,9.8375,S
476,0,52.0,S
477,0,21.0,S
478,0,7.0458,S
479,0,7.5208,S
480,1,12.2875,S
481,2,46.9,S
482,0,0.0,S
483,0,8.05,S
484,0,9.5875,S
485,0,91.0792,C
486,1,25.4667,S
487,0,90.0,S
488,0,29.7,C
489,0,8.05,S
490,1,15.9,S
491,0,19.9667,S
492,0,7.25,S
493,0,30.5,S
494,0,49.5042,C
495,0,8.05,S
496,0,14.4583,C
497,0,78.2667,C
498,0,15.1,S
499,2,151.55,S
500,0,7.7958,S
501,0,8.6625,S
502,0,7.75,Q
503,0,7.6292,Q
504,0,9.5875,S
505,0,86.5,S
506,0,108.9,C
507,2,26.0,S
508,0,26.55,S
509,0,22.525,S
510,0,56.4958,S
511,0,7.75,Q
512,0,8.05,S
513,0,26.2875,S
514,0,59.4,C
515,0,7.4958,S
516,0,34.0208,S
517,0,10.5,S
518,0,24.15,Q
519,0,26.0,S
520,0,7.8958,S
521,0,93.5,S
522,0,7.8958,S
523,0,7.225,C
524,1,57.9792,C
525,0,7.2292,C
526,0,7.75,Q
527,0,10.5,S
528,0,221.7792,S
529,0,7.925,S
530,1,11.5,S
531,1,26.0,S
532,0,7.2292,C
533,1,7.2292,C
534,2,22.3583,C
535,0,8.6625,S
536,2,26.25,S
537,0,26.55,S
538,0,106.425,C
539,0,14.5,S
540,2,49.5,C
541,2,71.0,S
542,2,31.275,S
543,2,31.275,S
544,0,26.0,S
545,0,106.425,C
546,0,26.0,S
547,0,26.0,S
548,0,13.8625,C
549,1,20.525,S
550,1,36.75,S
551,2,110.8833,C
552,0,26.0,S
553,0,7.8292,Q
554,0,7.225,C
555,0,7.775,S
556,0,26.55,S
557,0,39.6,C
558,0,227.525,C
559,1,79.65,S
560,0,17.4,S
561,0,7.75,Q
562,0,7.8958,S
563,0,13.5,S
564,0,8.05,S
565,0,8.05,S
566,0,24.15,S
567,0,7.8958,S
568,4,21.075,S
569,0,7.2292,C
570,0,7.8542,S
571,0,10.5,S
572,0,51.4792,S
573,0,26.3875,S
574,0,7.75,Q
575,0,8.05,S
576,0,14.5,S
577,0,13.0,S
578,0,55.9,S
579,0,14.4583,C
580,0,7.925,S
581,1,30.0,S
582,1,110.8833,C
583,0,26.0,S
584,0,40.125,C
585,0,8.7125,C
586,2,79.65,S
587,0,15.0,S
588,1,79.2,C
589,0,8.05,S
590,0,8.05,S
591,0,7.125,S
592,0,78.2667,C
593,0,7.25,S
594,2,7.75,Q
595,0,26.0,S
596,1,24.15,S
597,0,33.0,S
598,0,0.0,S
599,0,7.225,C
600,0,56.9292,C
601,1,27.0,S
602,0,7.8958,S
603,0,42.4,S
604,0,8.05,S
605,0,26.55,C
606,0,15.55,S
607,0,7.8958,S
608,0,30.5,S
609,2,41.5792,C
610,0,153.4625,S
611,5,31.275,S
612,0,7.05,S
613,0,15.5,Q
614,0,7.75,Q
615,0,8.05,S
616,2,65.0,S
617,1,14.4,S
618,0,16.1,S
619,1,39.0,S
620,0,10.5,S
621,0,14.4542,C
622,0,52.5542,S
623,1,15.7417,C
624,0,7.8542,S
625,0,16.1,S
626,0,32.3208,S
627,0,12.35,Q
628,0,77.9583,S
629,0,7.8958,S
630,0,7.7333,Q
631,0,30.0,S
632,0,7.0542,S
633,0,30.5,C
634,0,0.0,S
635,2,27.9,S
636,0,13.0,S
637,0,7.925,S
638,1,26.25,S
639,5,39.6875,S
640,0,16.1,S
641,0,7.8542,S
642,0,69.3,C
643,2,27.9,S
644,0,56.4958,S
645,1,19.2583,C
646,0,76.7292,C
647,0,7.8958,S
648,0,35.5,C
649,0,7.55,S
650,0,7.55,S
651,0,7.8958,S
652,1,23.0,S
653,0,8.4333,S
654,0,7.8292,Q
655,0,6.75,Q
656,0,73.5,S
657,0,7.8958,S
658,1,15.5,Q
659,0,13.0,S
660,2,113.275,C
661,0,133.65,S
662,0,7.225,C
663,0,25.5875,S
664,0,7.4958,S
665,0,7.925,S
666,0,73.5,S
667,0,13.0,S
668,0,7.775,S
669,0,8.05,S
670,0,52.0,S
671,1,39.0,S
672,0,52.0,S
673,0,10.5,S
674,0,13.0,S
675,0,0.0,S
676,0,7.775,S
677,0,8.05,S
678,0,9.8417,S
679,6,46.9,S
680,1,512.3292,C
681,0,8.1375,Q
682,0,76.7292,C
683,0,9.225,S
684,2,46.9,S
685,1,39.0,S
686,2,41.5792,C
687,1,39.6875,S
688,0,10.1708,S
689,0,7.7958,S
690,1,211.3375,S
691,0,57.0,S
692,1,13.4167,C
693,0,56.4958,S
694,0,7.225,C
695,0,26.55,S
696,0,13.5,S
697,0,8.05,S
698,0,7.7333,Q
699,1,110.8833,C
700,0,7.65,S
701,0,227.525,C
702,0,26.2875,S
703,1,14.4542,C
704,0,7.7417,Q
705,0,7.8542,S
706,0,26.0,S
707,0,13.5,S
708,0,26.2875,S
709,0,151.55,S
710,1,15.2458,C
711,0,49.5042,C
712,0,26.55,S
713,0,52.0,S
714,0,9.4833,S
715,0,13.0,S
716,0,7.65,S
717,0,227.525,C
718,0,10.5,S
719,0,15.5,Q
720,0,7.775,S
721,1,33.0,S
722,0,7.0542,S
723,0,13.0,S
724,0,13.0,S
725,0,53.1,S
726,0,8.6625,S
727,0,21.0,S
728,0,7.7375,Q
729,0,26.0,S
730,0,7.925,S
731,0,211.3375,S
732,0,18.7875,C
733,0,0.0,S
734,0,13.0,S
735,0,13.0,S
736,0,16.1,S
737,3,34.375,S
738,0,512.3292,C
739,0,7.8958,S
740,0,7.8958,S
741,0,30.0,S
742,0,78.85,S
743,2,262.375,C
744,0,16.1,S
745,0,7.925,S
746,1,71.0,S
747,1,20.25,S
748,0,13.0,S
749,0,53.1,S
750,0,7.75,Q
751,1,23.0,S
752,1,12.475,S
753,0,9.5,S
754,0,7.8958,S
755,2,65.0,S
756,1,14.5,S
757,0,7.7958,S
758,0,11.5,S
759,0,8.05,S
760,0,86.5,S
761,0,14.5,S
762,0,7.125,S
763,0,7.2292,C
764,2,120.0,S
765,0,7.775,S
766,0,77.9583,S
767,0,39.6,C
768,0,7.75,Q
769,0,24.15,Q
770,0,8.3625,S
771,0,9.5,S
772,0,7.8542,S
773,0,10.5,S
774,0,7.225,C
775,3,23.0,S
776,0,7.75,S
777,0,7.75,Q
778,0,12.475,S
779,0,7.7375,Q
780,1,211.3375,S
781,0,7.2292,C
782,0,57.0,S
783,0,30.0,S
784,2,23.45,S
785,0,7.05,S
786,0,7.25,S
787,0,7.4958,S
788,1,29.125,Q
789,2,20.575,S
790,0,79.2,C
791,0,7.75,Q
792,0,26.0,S
793,2,69.55,S
794,0,30.6958,C
795,0,7.8958,S
796,0,13.0,S
797,0,25.9292,S
798,0,8.6833,S
799,0,7.2292,C
800,1,24.15,S
801,0,13.0,S
802,1,26.25,S
803,2,120.0,S
804,1,8.5167,C
805,0,6.975,S
806,0,7.775,S
807,0,0.0,S
808,0,7.775,S
809,0,13.0,S
810,0,53.1,S
811,0,7.8875,S
812,0,24.15,S
813,0,10.5,S
814,2,31.275,S
815,0,8.05,S
816,0,0.0,S
817,0,7.925,S
818,1,37.0042,C
819,0,6.45,S
820,2,27.9,S
821,1,93.5,S
822,0,8.6625,S
823,0,0.0,S
824,1,12.475,S
825,1,39.6875,S
826,0,6.95,Q
827,0,56.4958,S
828,2,37.0042,C
829,0,7.75,Q
830,0,80.0,
831,0,14.4542,C
832,1,18.75,S
833,0,7.2292,C
834,0,7.8542,S
835,0,8.3,S
836,1,83.1583,C
837,0,8.6625,S
838,0,8.05,S
839,0,56.4958,S
840,0,29.7,C
841,0,7.925,S
842,0,10.5,S
843,0,31.0,C
844,0,6.4375,C
845,0,8.6625,S
846,0,7.55,S
847,2,69.55,S
848,0,7.8958,C
849,1,33.0,S
850,0,89.1042,C
851,2,31.275,S
852,0,7.775,S
853,1,15.2458,C
854,1,39.4,S
855,0,26.0,S
856,1,9.35,S
857,1,164.8667,S
858,0,26.55,S
859,3,19.2583,C
860,0,7.2292,C
861,0,14.1083,S
862,0,11.5,S
863,0,25.9292,S
864,2,69.55,S
865,0,13.0,S
866,0,13.0,S
867,0,13.8583,C
868,0,50.4958,S
869,0,9.5,S
870,1,11.1333,S
871,0,7.8958,S
872,1,52.5542,S
873,0,5.0,S
874,0,9.0,S
875,0,24.0,C
876,0,7.225,C
877,0,9.8458,S
878,0,7.8958,S
879,0,7.8958,S
880,1,83.1583,C
881,1,26.0,S
882,0,7.8958,S
883,0,10.5167,S
884,0,10.5,S
885,0,7.05,S
886,5,29.125,Q
887,0,13.0,S
888,0,30.0,S
889,2,23.45,S
890,0,30.0,C
891,0,7.75,Q
